sequenceID,small_end,big_end
20105.22,0,0
20108.20,2.5,inf
20109.20,0,1.5
20118.2,1,1
20119.2,0,1.5
20121.14,1.5,2.5
20121.7,-1,0
20124.1,1.5,inf
20124.16,1.5,inf
20124.2,1,inf
20124.3,0.5,3
20129.20,0,1
20133.X,-0.5,0
20134.X,-0.5,0
20135.14,0.5,0.5
20136.17,-0.5,0
20138.1,-1.5,0
20139.12,-inf,inf
20139.16,-0.5,0
20139.17,1,2
20139.3,1,inf
20139.4,1,inf
20139.5,-0.5,0
20140.14,-0.5,0.5
20140.15,-1,-0.5
20141.12,-0.5,-0.5
20141.14,-0.5,0.5
20141.5,-0.5,0
20142.18,0.5,1
20142.22,-0.5,0
20143.X,0,inf
20144.14,-0.5,-0.5
20144.9,-1.5,0
20145.1,-inf,inf
20145.10,-1,0
20145.12,-0.5,-0.5
20145.14,-0.5,0.5
20145.4,-0.5,inf
20145.8,-1,-0.5
20145.9,0,1.5
20145.X,0,0.5
20146.17,-0.5,inf
20146.4,-0.5,0
20148.1,-0.5,0.5
20151.14,-2,inf
20151.17,1,inf
20154.4,1,2
20154.9,0,1.5
20157.11,0,1
20158.1,-1,0
20158.9,0,0
20159.1,-0.5,0.5
20159.14,-0.5,0.5
20159.15,0,1.5
20159.3,0.5,0.5
20159.4,-0.5,0
20159.9,1.5,2.5
20160.14,-0.5,0.5
20160.17,1,inf
20160.4,0,0.5
20160.5,-0.5,inf
20161.1,0,1.5
20161.12,-0.5,-0.5
20161.22,-inf,inf
20162.12,-0.5,-0.5
20162.17,1,inf
20162.7,-0.5,0.5
20163.1,-0.5,0
20163.7,-0.5,-0.5
20163.9,-0.5,0
20164.1,-1,0
20164.14,-0.5,0.5
20164.4,0.5,inf
20165.15,0,2
20165.22,-0.5,inf
20165.4,-1.5,-0.5
20166.12,-0.5,-0.5
20166.17,0.5,1.5
20166.4,0,inf
20167.22,-0.5,0
20167.4,0.5,inf
20168.11,0,0
20168.16,-1,-0.5
20168.17,-0.5,inf
20168.19,-0.5,-0.5
20168.4,-0.5,inf
20169.10,-0.5,-0.5
20169.14,1,1
20169.9,1,inf
20170.17,-0.5,-0.5
20171.12,-0.5,0
20171.16,0,0
20171.17,0,0
20172.20,0.5,0.5
20172.3,0.5,0.5
20173.19,-1,0
20177.20,0,1
20178.20,0.5,1.5
20183.20,0,1
20184.22,0.5,1
20186.22,0.5,1
204.2,-1.5,0
207.10,-1,0.5
207.12,-2,0.5
207.15,-1.5,0
207.17,-1,0.5
207.18,-1.5,inf
207.4,-1.5,0.5
207.5,-1,0.5
217.17,-1.5,-0.5
219.2,-1,inf
219.5,-1,-1
220.11,-1,0.5
220.17,0,0.5
220.19,-1,inf
220.2,-1,0
220.20,-1,0
220.7,-1.5,-0.5
226.1,-0.5,0.5
227.1,-1.5,0.5
227.2,-2.5,-0.5
227.4,-1.5,0
247.1,-1,0
247.11,-1,1
247.20,-1,inf
247.4,-2,inf
247.X,-0.5,0
257.1,-0.5,1
257.10,-1,0.5
257.17,-1,0.5
26.11,-1,0
26.17,-1,inf
26.4,-1,-0.5
26.8,-1.5,0
268.3,-1,0.5
270.11,0.5,1
273.17,-0.5,0.5
273.6,-1,0.5
275.1,-0.5,1.5
275.2,-1,0.5
294.1,-0.5,0.5
30001.3,0,1
30001.8,0.5,inf
30011.11,2,2
30011.13,-0.5,0.5
30011.15,1.5,inf
30011.2,1,inf
30011.22,1,1.5
30011.7,0,inf
30011.8,0,inf
30016.6,-0.5,2.5
30020.4,2.5,inf
30022.12,1,inf
30022.17,1,inf
30022.9,1,1
30023.17,0,1
30023.9,-0.5,1
30024.17,1,inf
30024.4,-0.5,1
30024.6,0,1.5
311.1,-0.5,inf
311.11,-0.5,0.5
311.15,-1.5,0.5
311.16,-1,0.5
311.20,-1.5,-0.5
311.7,-0.5,1
314.1,-0.5,1.5
314.5,0,0.5
314.8,-1,0
316.1,-1.5,0
316.10,-1.5,0
316.12,-1,inf
316.15,-1,0
316.20,-1,0
316.7,-0.5,0.5
329.11,-1,inf
329.17,0.5,1
329.18,-1,inf
329.4,-1,0
329.6,-0.5,0
329.8,-1,0
33.1,-1.5,0
33.3,-1,0.5
33.6,-1.5,inf
33.7,-0.5,-0.5
330.1,-1,1
330.16,-0.5,0
330.17,-1,0.5
331.1,-0.5,inf
331.11,0,0
331.12,0,0.5
331.16,-0.5,inf
331.17,-0.5,inf
331.2,-0.5,inf
331.20,-0.5,0
331.4,-0.5,0
331.5,-0.5,0.5
331.6,-0.5,0
332.1,0,inf
332.18,-0.5,inf
332.6,-0.5,0
332.7,-0.5,0
340.1,0,inf
340.6,-0.5,0
340.9,-0.5,-0.5
341.1,0,1
349.1,-1,inf
349.17,-0.5,0
349.2,-1,inf
352.17,0,0.5
352.3,-1,0.5
360.1,0,inf
364.2,-1.5,0
371.10,-0.5,-0.5
371.14,-1,-0.5
371.17,-0.5,0
373.14,-1,-0.5
375.1,0.5,inf
375.12,-0.5,-0.5
375.3,-0.5,0.5
375.4,-1,inf
375.7,-0.5,0.5
378.1,-0.5,1
378.10,-1,0.5
378.11,-0.5,1
378.7,-0.5,1
39.1,-0.5,0.5
39.11,-0.5,0.5
39.20,-0.5,inf
39.8,-1,0
419.11,-1.5,0.5
421.5,-1,0
429.11,-1.5,0
429.17,-0.5,inf
429.5,-1,0
44.17,-0.5,inf
44.19,-1,0
44.3,-1,0.5
44.5,-0.5,1
44.7,-1,0.5
441.11,-1,-0.5
446.1,-1,0
446.10,-1,0
446.11,-1,0.5
446.17,-1,0
446.2,-1.5,inf
446.3,-1,inf
446.8,-1,0
464.2,-1.5,0
470.1,-0.5,0
470.17,-1,inf
479.11,-1,0
479.17,-1.5,0
482.5,-1.5,0
482.8,-1.5,-1
487.11,-1,0.5
487.17,0,0.5
487.4,-1.5,inf
487.6,-1,0
50.13,-1.5,inf
50.14,-1,inf
50.2,-1.5,inf
50.6,-1.5,inf
508.1,1.5,inf
508.2,-inf,inf
513.7,-1,0
516.1,0,0
516.2,-1.5,0
522.1,-0.5,inf
522.11,-1.5,0.5
522.17,0,0.5
522.21,-1,-0.5
522.3,-1,0.5
522.4,-1,0
544.17,-0.5,0
544.2,-1.5,0
545.17,-0.5,inf
57.1,-0.5,0
57.12,0,1
57.13,-1,0.5
57.14,-0.5,inf
57.16,-0.5,0.5
57.17,-1,inf
57.5,0,inf
57.7,-0.5,0
57.8,0,inf
586.1,-1.5,0
587.1,-0.5,0
587.17,-0.5,-0.5
591.1,0,1
592.1,-1.5,inf
592.2,-1,0.5
592.3,-1,inf
593.11,0.5,2.5
66.1,-0.5,-0.5
66.17,-1,0.5
66.21,-1,0
66.5,-1.5,0
67.19,-1.5,0
79.5,-1,0.5
8.1,-1,0
8.11,0,1
8.12,-0.5,0.5
8.17,0,1
8.18,-1.5,0
8.2,-0.5,0
8.20,-0.5,0
8.7,-1,0.5
9.1,0,1
91.12,0,1
91.17,-0.5,1
91.7,-1.5,0
91.X,-0.5,0.5
94.11,-1,1
94.16,-0.5,0
94.17,0,1
94.3,-1,0.5
94.4,-1,0.5
96.10,-1.5,inf
96.14,-1,inf
